Tanggal,Bendungan_Katulampa,Pos_Depok,Manggarai_BKB,PA_Karet,Pos_Krukut_Hulu,Pos_Pesanggrahan,Pos_Angke_Hulu,Waduk_Pluit,Pasar_Ikan_Laut,Pos_Cipinang_Hulu,Pos_Sunter_Hulu,Pulo_Gadung
"Minggu, 08 Januari 2023, 00:00",20,100,625,260,40,70,50,-190,170,80,70,330
"Minggu, 08 Januari 2023, 01:00",20,100,625,260,40,70,50,-190,164,80,70,330
"Minggu, 08 Januari 2023, 02:00",20,100,625,260,40,70,50,-190,170,80,70,330
"Minggu, 08 Januari 2023, 03:00",20,100,625,260,40,70,50,-190,179,80,70,330
"Minggu, 08 Januari 2023, 04:00",20,100,625,250,40,70,50,-190,182,80,70,330
"Minggu, 08 Januari 2023, 05:00",20,100,625,250,40,70,50,-190,200,80,90,330
"Minggu, 08 Januari 2023, 06:00",20,100,625,250,40,70,50,-190,202,80,70,330
"Minggu, 08 Januari 2023, 07:00",20,100,625,260,40,70,50,-190,214,80,80,330
"Minggu, 08 Januari 2023, 08:00",20,100,625,260,30,70,50,-190,224,80,80,330
"Minggu, 08 Januari 2023, 09:00",20,95,625,260,30,70,40,-190,233,100,70,330
"Minggu, 08 Januari 2023, 10:00",20,95,625,270,30,70,40,-190,245,100,70,330
"Minggu, 08 Januari 2023, 11:00",20,95,625,270,30,70,40,-190,240,100,60,330
"Minggu, 08 Januari 2023, 12:00",20,95,625,270,40,70,40,-185,234,100,60,330
"Minggu, 08 Januari 2023, 13:00",20,95,625,270,40,70,40,-185,228,100,60,330
"Minggu, 08 Januari 2023, 14:00",20,95,625,270,40,70,40,-185,205,100,60,330
"Minggu, 08 Januari 2023, 15:00",30,90,625,270,40,70,40,-185,192,100,90,330
"Minggu, 08 Januari 2023, 16:00",30,95,620,270,40,70,40,-185,180,90,60,330
